,topicos
0,"['trump', 'clinton', 'pic_twitter', 'donald_trump', 'warren', 'hillary_clinton', 'candidate', 'sanders', 'fox_news', 'kelly', 'june', 'president', 'hillary', 'speech', 'april', 'campaign', 'comment', 'nominee_donald', 'romney', 'realdonaldtrump']"
1,"['health', 'drug', 'planned_parenthood', 'refugee', 'patient', 'doctor', 'study', 'hospital', 'disease', 'researcher', 'brain', 'woman', 'rate', 'percent', 'child', 'treatment', 'cancer', 'tennessee', 'program', 'tuberculosis']"
2,"['gawker', 'black', 'thiel', 'crime', 'black_lives', 'grand_central', 'hunter', 'prison', 'robertson', 'white', 'denton', 'inmate', 'april', 'criminal', 'abu_sayyaf', 'prison_sentence', 'drug', 'sentence', 'hogan', 'duterte']"
3,"['game', 'player', 'team', 'warriors', 'curry', 'season', 'sport', 'championship', 'tournament', 'league', 'coach', 'james', 'final', 'title', 'green', 'golden_state', 'shot', 'cavaliers', 'minute', 'nfl']"
4,"['airport', 'plane', 'flight', 'passenger', 'airline', 'alligator', 'aircraft', 'boat', 'sea', 'crash', 'coast_guard', 'city', 'jet', 'traveler', 'vessel', 'hour', 'ship', 'boeing', 'air', 'official']"
5,"['food', 'restaurant', 'store', 'chicken', 'meat', 'beer', 'foods', 'customer', 'beverage', 'starbucks', 'product', 'brand', 'kitchen', 'drink', 'sale', 'flavor', 'diet', 'company', 'bottle', 'sugar']"
6,"['people', 'thing', 'world', 'america', 'life', 'woman', 'history', 'right', 'culture', 'president', 'word', 'country', 'left', 'obama', 'kind', 'problem', 'power', 'war', 'society', 'fact']"
7,"['court', 'supreme_court', 'abortion', 'judge', 'law', 'ruling', 'decision', 'justice', 'texas', 'lawyer', 'lawsuit', 'trial', 'roberts', 'kennedy', 'woman', 'chief_justice', 'right', 'state', 'action', 'plaintiff']"
8,"['gun', 'gun_control', 'second_amendment', 'background_check', 'firearm', 'twitter_awrhawkin', 'awrhawkins_breitbart', 'american_radio', 'analyst_armed', 'awr_hawkins', 'columnist_breitbart', 'ban', 'gun_violence', 'weapon', 'assault_weapon', 'right', 'news', 'measure', 'shooting', 'murphy']"
9,"['facebook', 'protester', 'beck', 'pic_twitter', 'protest', 'medium', 'rally', 'twitter', 'june', 'violence', 'zuckerberg', 'flag', 'tweet', 'group', 'supporter', 'site', 'news', 'lee_stranahan', 'breitbart', 'event']"
10,"['puerto_rico', 'turner', 'schilling', 'espn', 'island', 'bailout', 'birch', 'curt_schilling', 'creditor', 'bankruptcy', 'hodges', 'baseball', 'bondholder', 'ford', 'hughes', 'alpha', 'red_sox', 'boston_red', 'territory', 'spencer']"
11,"['obama', 'congress', 'president', 'government', 'administration', 'law', 'program', 'official', 'white_house', 'state', 'united_states', 'obama_administration', 'legislation', 'amendment', 'agency', 'rule', 'investigation', 'washington', 'senate', 'mccain']"
12,"['car', 'tesla', 'dog', 'vehicle', 'volkswagen', 'model', 'company', 'blast', 'hubbard', 'solarcity', 'owner', 'airbag', 'automaker', 'driver', 'settlement', 'recall', 'brain_injury', 'production', 'elon_musk', 'ferrari']"
13,"['water', 'climate_change', 'flooding', 'energy', 'scientist', 'west_virginia', 'coal', 'india', 'rain', 'plant', 'temperature', 'electricity', 'climate', 'county', 'river', 'resident', 'flint', 'building', 'warming', 'project']"
14,"['prince', 'zika', 'virus', 'cosby', 'zika_virus', 'muhammad_ali', 'olympics', 'simpson', 'health', 'opera', 'brazil', 'mosquito', 'paisley_park', 'constand', 'lerner', 'april', 'biles', 'boxer', 'case_zika', 'ring']"
15,"['breitbart_texas', 'border_patrol', 'texas', 'agent', 'mexico', 'border', 'alien', 'houston', 'cartel', 'harris_county', 'authority', 'martinez', 'city', 'bob_price', 'immigrant', 'member', 'guzman', 'drug_cartel', 'minor', 'twitter_bobpricebbtx']"
16,"['ryan', 'trump', 'convention', 'party', 'rubio', 'republicans', 'committee', 'delegate', 'nominee', 'republican_party', 'house', 'paul_ryan', 'candidate', 'republican', 'republican_national', 'rule', 'cleveland', 'ballot', 'senate', 'nomination']"
17,"['season', 'episode', 'hannah', 'game_thrones', 'breitbart_news', 'chipotle', 'panda', 'quake', 'jaime', 'earthquake', 'executive_chairman', 'malia', 'stephen_bannon', 'hound', 'jon_snow', 'robert', 'patriot_channel', 'meyer', 'update_listener', 'andrew']"
18,"['mateen', 'orlando', 'attack', 'islam', 'fbi', 'muslims', 'june', 'omar_mateen', 'gay', 'terrorist', 'club', 'terrorism', 'isis', 'shooting', 'mosque', 'shooter', 'victim', 'obama', 'gunman', 'pulse']"
19,"['trump', 'trade', 'immigration', 'immigrant', 'worker', 'mexico', 'job', 'america', 'policy', 'miller', 'china', 'levin', 'united_states', 'country', 'trade_deal', 'border', 'ryan', 'tariff', 'obama', 'americans']"
20,"['film', 'movie', 'actor', 'hollywood', 'actress', 'star', 'hamilton', 'woman', 'photo', 'character', 'studio', 'theater', 'director', 'celebrity', 'award', 'follow_daniel', 'festival', 'comedy', 'nussbaum_twitter', 'documentary']"
21,"['transgender', 'bathroom', 'north_carolina', 'target', 'school', 'sex', 'law', 'gender_identity', 'student', 'woman', 'policy', 'gender', 'man_woman', 'lgbt', 'restroom', 'child', 'parent', 'state', 'room', 'privacy']"
22,"['lewandowski', 'trump', 'schlafly', 'campaign', 'adams', 'manafort', 'corey_lewandowski', 'hicks', 'phyllis', 'kushner', 'campaign_manager', 'cambridge', 'martin', 'phyllis_schlafly', 'bezos', 'meeting', 'fields', 'amazon', 'marriage', 'email']"
23,"['migrant', 'refugee', 'germany', 'europe', 'border', 'sweden', 'italy', 'migration', 'greece', 'turkey', 'poland', 'austria', 'merkel', 'european_union', 'country', 'berlin', 'government', 'crisis', 'party', 'france']"
24,"['clinton', 'email', 'hillary_clinton', 'state_department', 'clinton_cash', 'clinton_foundation', 'clintons', 'benghazi', 'bill_clinton', 'hillary', 'secretary_state', 'server', 'donation', 'abedin', 'schweizer', 'investigation', 'secretary', 'report', 'uranium', 'email_server']"
25,"['song', 'music', 'beyonce', 'church', 'gorilla', 'album', 'singer', 'band', 'concert', 'francis', 'artist', 'lemonade', 'video', 'christians', 'animal', 'rapper', 'vatican', 'tiger', 'pope_francis', 'music_video']"
26,"['north_korea', 'war', 'military', 'china', 'japan', 'soldier', 'veteran', 'taliban', 'troop', 'afghanistan', 'commander', 'weapon', 'pentagon', 'united_states', 'vietnam', 'force', 'combat', 'navy', 'defense', 'air_force']"
27,"['company', 'money', 'business', 'cost', 'industry', 'investor', 'buffett', 'investment', 'bank', 'market', 'income', 'profit', 'benefit', 'loan', 'percent', 'stock', 'price', 'executive', 'sale', 'deal']"
28,"['market', 'economy', 'china', 'bank', 'percent', 'price', 'growth', 'rate', 'interest_rate', 'investor', 'stock', 'economist', 'recession', 'datum', 'stock_market', 'job', 'increase', 'index', 'analyst', 'federal_reserve']"
29,"['student', 'university', 'campus', 'school', 'yiannopoulos', 'college', 'event', 'education', 'milo_yiannopoulos', 'class', 'depaul', 'college_republicans', 'breitbart_tech', 'harvard', 'speech', 'editor_milo', 'twitter_facebook', 'faculty', 'free_speech', 'tom_ciccotta']"
30,"['police', 'officer', 'child', 'victim', 'family', 'boy', 'charge', 'woman', 'street', 'incident', 'city', 'suspect', 'mother', 'prosecutor', 'police_officer', 'car', 'crime', 'son', 'father', 'assault']"
31,"['delegate', 'trump', 'kasich', 'indiana', 'wisconsin', 'state', 'ted_cruz', 'campaign', 'april', 'manafort', 'convention', 'fiorina', 'district', 'candidate', 'voter', 'vote', 'primary', 'colorado', 'john_kasich', 'donald_trump']"
32,"['apple', 'google', 'user', 'app', 'facebook', 'company', 'device', 'technology', 'microsoft', 'iphone', 'computer', 'snapchat', 'service', 'content', 'feature', 'datum', 'developer', 'robot', 'internet', 'phone']"
33,"['sanders', 'trump', 'clinton', 'mrs_clinton', 'voter', 'poll', 'campaign', 'percent', 'election', 'california', 'candidate', 'party', 'democrats', 'primary', 'hillary_clinton', 'republicans', 'vote', 'state', 'nominee', 'race']"
34,"['britain', 'brexit', 'referendum', 'london', 'european_union', 'remain', 'vote', 'cameron', 'labour', 'europe', 'prime_minister', 'union', 'leave', 'corbyn', 'united_kingdom', 'june', 'david_cameron', 'poll', 'farage', 'voter']"
35,"['rousseff', 'brazil', 'venezuela', 'panama_papers', 'impeachment', 'cuban', 'corruption', 'insurer', 'spain', 'government', 'harriet_tubman', 'dissertation', 'evening_briefing', 'eastern_morning', 'briefing_email', 'scandal', 'briefing_weekday', 'eastern_weekend', 'briefing_sundays', 'briefing_nytimes']"
36,"['isis', 'islamic_state', 'turkey', 'attack', 'erdogan', 'syria', 'group', 'iraq', 'fighter', 'muslims', 'airport', 'islam', 'falluja', 'istanbul', 'government', 'terrorist', 'militant', 'pakistan', 'boko_haram', 'ramadan']"
37,"['israel', 'iran', 'syria', 'hamas', 'tel_aviv', 'kerry', 'assad', 'breitbart_jerusalem', 'obama', 'netanyahu', 'war', 'rhodes', 'palestinians', 'aaron_klein', 'hezbollah', 'state_department', 'reporter', 'jerusalem', 'official', 'deal']"
38,"['city', 'athlete', 'detroit', 'san_francisco', 'russia', 'fifa', 'sport', 'school', 'charter_school', 'lab', 'rent', 'airbnb', 'stamp', 'apartment', 'building', 'district', 'library', 'rodchenkov', 'metro', 'housing']"
39,"['company', 'yahoo', 'theranos', 'uber', 'silicon_valley', 'intel', 'startup', 'investor', 'google', 'executive', 'board', 'tech', 'amazon', 'business', 'sale', 'employee', 'salesforce', 'holmes', 'tribune', 'verizon']"
